rb_id,doc,section,fragment,note
RB-01,report8,Groundwater Records,a well is admitted if it has more than 100 months of valid record and is still reporting after February 2026,
RB-01,report8,Groundwater Records,"The 100-month figure is an admission threshold, not a fitting window",
RB-02,report8,Pearson Correlation Distance,"calculated over contemporaneous, overlapping temporal records for wells i and j",pairwise-complete on the full record; no window
RB-03,report8,Modelling the Cluster water levels,fitted to this average hydrograph using the full available record rather than the 100-month window applied to individual wells,
RB-03b,MS,S.3 Script 03,every centroid on the full record and every reference well on the comparison window,Model B side by side with Model A on the RB-03/RB-04 bases
RB-03c,report8,Groundwater Records,"across the 66 reference wells, each refitted on its comparison window, the coefficient shifts scale with each well's upstand",03_17 upstand-frame sensitivity (reason 21m)
RB-04,report8,Spatial Coefficient Mapping,The per-well SSM is fitted to the most recent 100 months at each reference well,the summary-of-fitting-windows paragraph
RB-05,report8,Spatial Coefficient Mapping,fits nothing itself and interpolates the per-well store,reason 21m
RB-06,report8,Traditional Linear Model Benchmark,Both models were independently fitted to the most recent 100 months of data,
RB-07,MS,"S.16 Scripts 22, 23, 24",Script 22 refits Model B — the SSM with a constant intercept — on the full record under the shared residual-diagnostic floor,
RB-08,MS,"S.16 Scripts 22, 23, 24",It refits Model B via fit_ssm_intercept() for every well (so the residuals are directly comparable with Script 22's),Script 24 on the same basis as Script 22
RB-09,MS,S.19.3 Script 30,Centroid fits use the shared model_utils.fit_ssm on the full record,
RB-09,MS,S.19.3 Script 30,Each reference well is fitted twice — on the comparison window used for the per-well coefficient table (§S.3) and on its full record,
RB-10,report8,Spatial Coefficient Mapping,fitted independently to the pre- and post-felling windows at each BACI-network well,10a
RB-10,report8,Dune Scraping Intervention,fitted independently to pre-scraping (start of record to March 2015) and post-scraping (April 2015 to November 2017) windows,09a
RB-11,report8,Specific Yield Estimation,computes a per-month Sy = R / Δh for each rising-limb event in the record,
RB-12,report8,Five-Year Mean Spring,"The five-year mean spring water level MSL5, indexed by its closing year, is the unweighted mean of five consecutive annual spring means",an aggregation over the record; not a fitting window
RB-13,report8,Network-Scale Coastal-Retreat,a non-linear panel regression was fitted to the full 21-year monthly record,
RB-13,report8,Network-Scale Coastal-Retreat,Three nested specifications were fitted to test robustness to forest-cover inclusion: the full network (67 wells,25_01_panel_fit_parameters n_wells
RB-14,report10,Out-of-Sample Test Against the 1989,"uses each well's own coefficients from the modern per-well fit, driven by the RAF Valley climate record for 1989–96, with no refitting",
RB-15,none,,,Script 39's full-record climate-only series (open-ground panel) is not presented in any document; nothing to state until it is
RB-44,report10,The 1951–53 Record,"each paired well's own coefficients from the modern fit are driven by the RAF Valley record from 1930, with no refitting",
RB-16,none,,,W94 phase 13 — a working analysis in tools/warren_flood_prep.py that led to D-178; not presented in any document
RB-17,none,,,W94 phase 14 — as RB-16
RB-18,none,,,W94 phase 21 — as RB-16
RB-19,none,,,W94 phase 22 — as RB-16
RB-20,none,,,W94 phase 26 — as RB-16
RB-21,report8,Wet Area from Sentinel,leaving 43 winter scenes each with a dipwell reading in the same month,
RB-22,none,,,W94 phase 27 hindcast — superseded by the Script 45–47 line (D-178); not presented in any document
RB-23,report8,Wet Area from Sentinel,The state-space model driving these curves is fitted to 2005–February 2026; the wet-area analysis uses winter scenes through March 2026,
RB-24,MS,D. The Sentinel wet-area model,"Each reference-network well is seeded once, from the mean of its own August–September minima over the monitored record",Script 47
RB-25,report8,Wet Area from Sentinel,The state-space model driving these curves is fitted to 2005–February 2026,Script 45
RB-26,MS,D. The Sentinel wet-area model,"assembles those curves, the per-cell switching levels and the level history into the public feed living/wet_area_model.json (schema nw-wet-area-1) that the scenario viewer and the film read, fitting nothing",Script 46 inherits
