key,document,quoted,what_it_actually_is,checked,occurrences
C3 (Western Residual) · beta_2_atmospheric_draw,docs/report/text/Newborough_Methods_Supplement.md,1.83,"the Durbin-Watson statistic at C4 Main Forest — the line reads ""a mild positive autocorrelation (DW 1.83)"". Not a beta-2 anywhere in the document.",2026-08-26,1
ANCOVA_A_WMC3+FE1+FE2_Climate_R2,docs/report/text/Newborough_Methods_Supplement.md,0.112,"two occurrences, neither an R-squared: a Pearson best-match gap for well P2, and a correlation delta in a wide table (dist_CEH36, delta = +0.112).",2026-08-26,2
ANCOVA_Climate_Impact_R2,docs/report/text/Supplementary_Material.md,0.191,"the value -0.191 in the S7 EWI per-well calibration table, well D10 (C2 Dune). Negative, and a different quantity.",2026-08-26,1
ANCOVA_Combined_Edge_Oct2023_step,docs/report/text/Supplementary_Material.md,0.117,"three occurrences, all in the S7 EWI per-well calibration table (CEH6, CEH24, CEH34); two of them negative.",2026-08-26,3
ANCOVA_Combined_Impact_R2,docs/report/text/Supplementary_Material.md,0.268,"the value -0.268 in the S7 EWI per-well calibration table, well CEH26 (C1 Lake Edge). Negative.",2026-08-26,1
C3_Sy_min,docs/report/text/Supplementary_Material.md,0.246,two per-well quartiles in the S4.1 WTF specific-yield table — NW13's median and NW5's Q25. Neither is the C3 cluster minimum.,2026-08-26,2
ANCOVA_Climate_Impact_R2,report_edits/text/report9.md,0.191,"a confidence-interval upper bound in a wide table — CEH22 Control Baseline 0.138 [0.085, 0.191].",2026-08-26,1
ANCOVA_C_WMC3_only_Climate_R2,report_edits/text/report9.md,0.191,"the same CEH22 CI upper bound as the row above; one occurrence in the document, claimed by two index keys.",2026-08-26,1
ANCOVA_Climate_Edge_R2,report_edits/text/report9.md,0.219,a cell in the Forest Ctrl row of a wide before/after table (2.627 2.718 +0.091 2.582 2.801 +0.219 ...).,2026-08-26,1
CoeffShift_CEH2_db1,report_edits/text/report9.md,0.115,"two confidence-interval upper bounds — CEH18 Treatment Baseline 0.076 [0.038, 0.115] and CEH4 Control Baseline 0.071 [0.028, 0.115]. Neither is a CEH2 coefficient shift.",2026-08-26,2
C2 (Dune) · beta_2_atmospheric_draw,report_edits/text/report9.md,1.76,"a cell in a C4 Main Forest row of a counts/range table (13, 692--1,200, 818, 1.76). Whatever that column is, it is not the C2 beta-2. The column meaning is unverified.",2026-08-26,1
C3 (Western Residual) · beta_2_atmospheric_draw,report_edits/text/report9.md,1.83,"Climate-Edge row of the far-field contrast table: a negative statistic, not an SSM beta_2 (T-18a C.1)",2026-08-28,1
C4 (Main Forest) · beta_2_atmospheric_draw,docs/papers/paper_1/text/PAPER1_SI_methods.md,2.58,"SE on delta_0 of the full-exponential coastal fit (-41.30 +/- 2.58 mm/yr), not an SSM beta_2 (T-18a C.2)",2026-08-28,1
Net_benefit,docs/report/text/Supplementary_Material.md,0.143,"Q25 specific yield at CEH27, and a seasonal gradient coefficient; not the BACI scraping benefit (T-18a C.3)",2026-08-28,2
"Edge (CEH31, CEH20, CE / Pre-2015 · Min_depth_m",report_edits/text/report10.md,1.51,"one occurrence, a rainfall multiple: ""the wettest observed winter, 745 mm in 2001, delivered only 1.51x the climatological mean"". Not a depth in metres anywhere in the document.",2026-09-01,1
Impact (WMC3) / Pre-2015 · SD_depth_m,docs/papers/paper_2/text/Hollingham_2026_Paper2_amended.md,0.156,"one occurrence, the upper end of an SSM residual step range across the five Forest-control wells: ""(+0.078 m, range +0.027 to +0.156 m)"". A step, not a standard deviation.",2026-09-01,1
"Edge (CEH31, CEH20, CE / Post-fell 2018+ · SD_depth_m",docs/report/text/Supplementary_Material.md,0.188,"two occurrences, neither a BACI statistic: CEH2's specific-yield LOWER BOUND in Table S4.1 (0.236 / 0.188 / 0.317), and NW4's -0.188 in Table S7.1, a negative level in metres below ground. A depth SD cannot be negative.",2026-09-01,2
Impact (WMC3) / Post-fell 2018+ · SD_depth_m,docs/report/text/Supplementary_Material.md,0.170,"one occurrence, CEH13's specific-yield lower bound in Table S4.1 (0.229 / 0.170 / 0.320).",2026-09-01,1
"Forest Ctrl (CEH32, CE / 2015–17 · SD_depth_m",docs/report/text/Supplementary_Material.md,0.239,"one occurrence, CEH32's event-median specific yield in Table S4.1 (0.239 / 0.180 / 0.361). Same well name as the zone label, which is why this one reads plausibly and is not.",2026-09-01,1
"Edge (CEH31, CEH20, CE / Pre-2015 · SD_depth_m",docs/report/text/Supplementary_Material.md,0.246,"two occurrences, both in Table S4.1 specific yield: NW13's median (0.246 / 0.206 / 0.319) and NW5's lower bound (0.306 / 0.246 / 0.350).",2026-09-01,2
"Coastal Ctrl (CEH19, C / 2015–17 · SD_depth_m",report_edits/text/report9.md,0.125,"one occurrence, a negative delta in a wide before/after table: ""NW10 Forest Ctrl 3.235 3.499 +0.264 2.606 2.481 -0.125"". Negative, so not a depth SD.",2026-09-01,1
"Forest Ctrl (CEH32, CE / Pre-2015 · SD_depth_m",docs/report/text/Supplementary_Material.md,0.400,"two occurrences, neither a BACI statistic: CEH17's specific-yield UPPER BOUND in Table S4.1 (0.310 / 0.244 / 0.400), and CEH11's -0.400 in Table S7.1, a negative level. A depth SD cannot be negative.",2026-09-01,2
