claim_id,assertion,csv,key_col,rule,expect,phrase,contradicts,decision_id,note
c4_centroid_vif_min,C4 has the lowest centroid VIF in the network,outputs/30_c4_drainage_identifiability/30_c4_identifiability_by_cluster.csv,cluster,argmin:VIF,C4 (Main Forest),is the most cleanly separated in the network,,D-011,FALSE on the committed data — C5 is lower. Asserted in Script 30 v2.1.0's docstring and console and in report10; corrected 2026-08-16. Kept in the register so it cannot come back unnoticed.
c4_centroid_hd_sd_max,C4 has the largest centroid displacement SD in the network,outputs/30_c4_drainage_identifiability/30_c4_identifiability_by_cluster.csv,cluster,argmax:hd_sd,C4 (Main Forest),largest displacement variation,,D-001,Holds on the committed data. Distinct from displacement RANGE where C5 is larger — do not conflate the two.
c4_centroid_hd_range_max,C4 has the largest centroid displacement RANGE in the network,outputs/30_c4_drainage_identifiability/30_c4_identifiability_by_cluster.csv,cluster,argmax:hd_range,C4 (Main Forest),largest displacement range,,D-011,"FALSE — C5 is larger. Any document saying ""largest displacement range"" of C4 is wrong; SD is the defensible statistic."
c4_beta3_min,C4 has the lowest cluster drainage coefficient,outputs/03_state_space_model/03_03_cluster_mechanistic_coefficients.csv,Cluster_Label,argmin:beta_3_drainage,C4 (Main Forest),lowest at C4,,D-002,Holds. Underpins the whole C4 narrative.
c1_beta3_max,C1 has the highest cluster drainage coefficient,outputs/03_state_space_model/03_03_cluster_mechanistic_coefficients.csv,Cluster_Label,argmax:beta_3_drainage,C1 (Lake Edge),highest at C1,,,Holds.
c4_beta2_max,C4 has the highest cluster atmospheric-draw coefficient,outputs/03_state_space_model/03_03_cluster_mechanistic_coefficients.csv,Cluster_Label,argmax:beta_2_atmospheric_draw,C4 (Main Forest),largest in the network,,D-001,Holds. Cited in report9 §5.2.3 and report10.
c1_beta1_max,C1 has the highest cluster recharge sensitivity,outputs/03_state_space_model/03_03_cluster_mechanistic_coefficients.csv,Cluster_Label,argmax:beta_1_recharge,C1 (Lake Edge),highest in the Lake Edge cluster,,,Holds.
c3_coastal_share_quarter,Coastal retreat accounts for about a quarter of C3's summer-minimum decline,outputs/25_coastal_gradient/25_03_cluster_partition.csv,cluster_label,band:coastal_gradient_pct_of_basis:20:27,C3 (Western Residual),about a quarter,around a third of the observed summer-minimum,,"Committed 22.81% (-3.228 of -14.151 mm/yr, 17 wells). The band is the range over which ""about a quarter"" stays honest; outside it the wording has to change. contradicts carries the exact phrasing Paper 1's conclusion 5 used until 2026-08-31, when it was corrected - the CSV had never moved, so only a corpus-against-itself check could catch it (W106)."
coast_edge_rate_150m,The headline coast-edge trend at the 150 m reference distance is roughly -26 mm/yr,outputs/25_coastal_gradient/25_01_panel_fit_parameters.csv,source+model,band:delta_ref_mm_yr:-29:-23,forest_free+linear_capped,roughly 26 mm/yr,deepening of roughly 29 mm/yr,D-047,"Committed -26.177 (SE 1.449). Needs the composite key: source alone matches two models and model alone matches four sources, which is why this quantity could not be registered before cite_check 1.13.0 and was unwatched when the conclusions quoted 29 (W106)."
delta0_well_basis_se,"The uncertainty quoted on δ₀ is the well-basis standard error, about 5 mm/yr (−31.35 ± 4.91), not the fitted row-basis 1.97",outputs/25_coastal_gradient/25_report_numbers.csv,Parameter,band:Value:4.5:5.5,delta0_well_basis_se_mm_yr,± 4.91,two and a half times the fitted|± 1.97 mm/yr|(95 % CI −29.0 to −23.3)|(95% CI −29.0 to −23.3)|fitted SE 48 m|(SE 1.45),D-147,"Well basis = delete-one estimate over the 61 refits in 25_16 (D-147, 2026-09-09). The fitted SEs stay in 25_01 as nominal precision; the contradicts list is the set of row-basis renderings that were in the corpus and were replaced. The SI §S13.3 table legitimately shows the row-basis ± without units, which is why the contradiction is the unit-bearing form."
