doc,fragment,note
report10,Methods Supplement §S,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
report10,Methods Supplement §S,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
report10,Methods Supplement §S,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
report15,"Methods Supplement:** Hollingham, M","bibliographic citation of the Supplement as a whole, not a destination"
report15,Methods Supplement,"bibliographic citation of the Supplement as a whole, not a destination"
report16,"Methods Supplement, is given in the Methods Supp",glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,"Methods Supplement, is given in the Methods Supp",glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,"Methods Supplement, EWI derivation   z₀",glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,Methods Supplement Script 15   τ               S,glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,Methods Supplement §S,glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,Methods Supplement §S,glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,Methods Supplement §S,glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,"Methods Supplement, Script 07 section",glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report16,"Methods Supplement, Script 39 section   SAC",glossary 'where defined' column — pre-existing; pending Martin's ruling 2026-09-21
report8,Methods Supplement Section S,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
report8,Methods Supplement (§D,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
report8,Supplement §S.20.6,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
report9,Methods Supplement §F,pre-existing body pointer; pending Martin's ruling 2026-09-21 (say the thing or name the script)
